,Date,NumberOfSubjects,Fatal,SubjectArmed,Notes,SubjectRace,SubjectGender,SubjectAge,NatureOfStop,NumberOfShots,NumberOfOfficers,OfficerRace,OfficerGender,Department,FullNarrative,city,state
103,9/25/2010,1,F,Y,,W,M,26,Domestic Disturbance,,1,H,M,Austin PD,,Austin,TX
104,10/1/2010,1,F,Y,,L,M,16,Burglary / home invasion,,1,W,M,Austin PD,,Austin,TX
105,11/2/2010,1,F,Y,,A,M,26,Shots fired / shooting,,2,"W,W","M,M",Austin PD,,Austin,TX
106,12/23/2010,1,F,N,"Fired, knife",W,M,35,Traffic stop,,1,B,M,Austin PD,,Austin,TX
107,5/9/2011,1,F,Y,,L,M,30,Shots fired / shooting,,1,H,M,Austin PD,,Austin,TX
108,8/15/2011,1,N,Y,No Hits,W,M,21,Robbery,,2,"H, W","M, M",Austin PD,,Austin,TX
109,11/5/2011,1,N,N,No Hits,L,M,34,Fight / disorderly conduct,,1,W,M,Austin PD,,Austin,TX
110,12/5/2011,1,N,N,Vehicle,W,M,26,Stolen vehicle,,2,"W, W","M,M",Austin PD,,Austin,TX
111,12/28/2011,1,N,N,No Hits; vehicle as weapon,B,M,32,Drug suspicion / drug warrant,,1,W,M,Austin PD,,Austin,TX
112,2/3/2012,1,N,Y,Indicted; charges dropped,W,M,34,Mental crisis / suicide attempt,,1,W,M,Austin PD,,Austin,TX
113,4/5/2012,1,F,N,,B,M,35,Traffic stop,,1,W,M,Austin PD,,Austin,TX
114,9/25/2012,1,F,N,Vehicle as weapon,W,M,42,Stolen vehicle,,1,W,M,Austin PD,,Austin,TX
115,10/20/2012,1,N,N,No Hits; vehicle as weapon,B,F,24,Suspicious activity / patrol,,1,W,M,Austin PD,,Austin,TX
116,1/14/2013,1,N,Y,No Hits,B,M,51,Robbery,,2,"B, W","M, M",Austin PD,,Austin,TX
117,3/1/2013,1,F,Y,,W,M,70,Shots fired / shooting,,1,W,M,Austin PD,,Austin,TX
118,4/23/2013,1,F,Y,,W,M,54,Weapons disturbance,,4,"W, H, W, W","M,M,M,M",Austin PD,,Austin,TX
119,5/8/2013,1,N,N,No Hits,W,M,55,Traffic stop,,1,W,M,Austin PD,,Austin,TX
120,5/17/2013,1,N,Y,No Hits,W,M,26,Weapons disturbance,,1,W,M,Austin PD,,Austin,TX
121,7/26/2013,1,F,N,,B,M,32,Suspicious activity / patrol,,1,W,M,Austin PD,,Austin,TX
122,8/31/2013,1,N,N,Vehicle as weapon,L,M,46,Burglary / home invasion,,1,A,M,Austin PD,,Austin,TX
123,10/18/2013,1,N,Y,Ofc. Cecil Jones Fired,W,M,44,Shots fired / shooting,,3,"W, B, W","M, M, M",Austin PD,,Austin,TX
124,11/10/2013,1,N,Y,,L,M,30,Other,,2,"W, H","M, M",Austin PD,,Austin,TX
125,1/25/2014,1,N,N,"No Hits, vehicle as weapon",L,M,22,Traffic stop,,1,W,M,Austin PD,,Austin,TX
126,3/18/2014,1,N,N,BB gun,B,M,22,Domestic Disturbance,,1,W,M,Austin PD,,Austin,TX
127,9/8/2014,1,F,Y,,W,M,24,Robbery,,2,"W,W","M,M",Austin PD,,Austin,TX
128,11/28/2014,1,F,Y,,W,M,49,Shots fired / shooting,,1,W,M,Austin PD,,Austin,TX
129,1/23/2015,1,F,Y,,W,M,61,Mental crisis / suicide attempt,,1,W,M,Austin PD,,Austin,TX
130,2/7/2015,1,F,Y,,W,M,27,Shots fired / shooting,,1,W,M,Austin PD,,Austin,TX
131,5/24/2015,1,N,Y,,B,M,30,Weapons disturbance,,2,"H,W","F, M",Austin PD,,Austin,TX
132,5/25/2015,1,F,Y,,W,F,31,Mental crisis / suicide attempt,,1,W,M,Austin PD,,Austin,TX
133,7/5/2015,1,F,N,,W,M,25,Other,,3,"W, W, A","M,M,M",Austin PD,,Austin,TX
134,7/5/2015,1,F,Y,BB gun,W,M,35,Shots fired / shooting,,1,H,M,Austin PD,,Austin,TX
135,7/12/2015,1,F,Y,,W,M,63,Suspicious activity / patrol,,1,W,M,Austin PD,,Austin,TX
136,4/3/2016,1,F,Y,,W,M,25,Suspicious person,>/=4,1,H,M,Austin PD,"The concierge at 800 W 5th Street observed a subject on video surveillance as he attempted to burglarize vehicles. The concierge attempted to subdue the subject several times but was unsuccessful. Ofc observed the concierge chasing the subject on foot. Ofc exited his vehicle as the concierge tackled the subject. As Ofc attempted to handcuff the subject, he produced a handgun and shot Ofc. Ofc returned fire , striking and killing the subject.",Austin,TX
137,3/20/2016,1,N,N,Knife,B,M,34,Agg. Assault,>/=2,1,W,M,Austin PD,"Multiple 911 calls were received regarding a male threatening customers with knives at a grocery store. An additional call was received indicating the same subject had attempted to force entry into a residence nearby . Responding officers searched the area and located the subject behind a nearby business. Subject fled across all lanes of IH35 still wielding the knives. Subject was observed behind another nearby business throwing rocks and bricks at officers. Subject fled again and was located at a school nearby. Subject was noncompliant with responding officers' multiple requests to drop his weapons. Officer fired his shotgun hitting the subject who once again fled. Subject was later located, apprehended and taken to a local hospital and treated for gunshot wound(s) and K9 dog bite. Subject was transported & booked at TCSO a few hours later.",Austin,TX
138,4/14/2016,1,N,Y,"SWAT Team,",W,M,18,Warrant Service,>/=3,2,"W,W","M,M",Austin PD,"APD SWAT team officers arrived at the subject's residence to execute a search warrant. The presence of SWAT team officers was announced over the loud speaker system as officers were entering the residence. Officers entered the subject's residence and the subject, who was standing on the second floor, fired a rifle at officers striking one officer with a non-fatal injury. The subject was later taken into custody and transported to jail where he was subsequently charged and indicted for Attempted Capital Murder.",Austin,TX
