,custody_type,race,death_type,age
0,2,4,5,58.0
1,2,3,5,76.0
2,1,4,6,30.0
3,2,1,1,39.0
4,2,1,5,31.0
5,2,4,5,56.0
6,3,1,3,47.0
7,3,1,3,19.0
8,2,3,5,58.0
9,2,3,5,58.0
10,2,4,7,36.0
11,2,1,5,45.0
12,3,1,1,20.0
13,2,3,6,56.0
14,3,5,7,42.0
15,2,4,5,44.0
16,2,4,5,49.0
17,3,4,7,33.0
18,2,4,5,68.0
19,2,4,5,65.0
20,3,4,3,21.0
21,3,4,3,36.0
22,3,4,3,48.0
23,3,4,3,70.0
24,0,4,5,40.0
25,3,4,5,55.0
26,2,4,5,58.0
27,2,4,7,30.0
28,2,1,7,29.0
29,2,3,5,48.0
30,3,4,3,42.0
31,2,3,5,54.0
32,2,4,7,41.0
33,3,4,7,19.0
34,3,4,3,19.0
35,2,4,7,34.0
36,2,1,5,42.0
37,2,4,5,51.0
38,3,4,3,23.0
39,3,4,2,39.0
40,2,4,5,72.0
41,2,3,5,66.0
42,2,1,5,69.0
43,2,4,5,49.0
44,2,4,5,74.0
45,2,4,6,32.0
46,2,4,7,25.0
47,2,3,5,44.0
48,0,3,5,51.0
49,2,3,5,68.0
50,3,1,2,44.0
51,1,1,5,35.0
52,2,3,7,26.0
53,2,4,7,38.0
54,2,3,5,50.0
55,1,3,6,50.0
56,0,4,2,19.0
57,2,1,5,46.0
58,0,4,7,31.0
59,0,1,5,35.0
60,2,4,5,64.0
61,3,3,3,35.0
62,3,1,7,21.0
63,3,3,4,28.0
64,3,4,2,38.0
65,3,1,3,45.0
66,2,4,5,24.0
67,3,4,3,20.0
68,2,1,5,61.0
69,2,1,5,47.0
70,3,3,3,26.0
71,2,1,5,58.0
72,3,1,3,22.0
73,2,1,7,28.0
74,2,4,5,51.0
75,2,1,5,75.0
76,2,4,5,44.0
77,3,4,3,21.0
78,2,3,4,70.0
79,2,4,5,66.0
80,2,4,5,44.0
81,2,3,5,57.0
82,2,4,5,34.0
83,2,4,5,48.0
