,age,fatality,armed,race,sex,dept,mult_officers
103,26.0,0,2,4,1,0,0
104,16.0,0,2,2,1,0,0
105,26.0,0,2,0,1,0,1
106,35.0,0,0,4,1,0,0
107,30.0,0,2,2,1,0,0
108,21.0,1,2,4,1,0,1
109,34.0,1,0,2,1,0,0
110,26.0,1,0,4,1,0,1
111,32.0,1,0,1,1,0,0
112,34.0,1,2,4,1,0,0
113,35.0,0,0,1,1,0,0
114,42.0,0,0,4,1,0,0
115,24.0,1,0,1,0,0,0
116,51.0,1,2,1,1,0,1
117,70.0,0,2,4,1,0,0
118,54.0,0,2,4,1,0,1
119,55.0,1,0,4,1,0,0
120,26.0,1,2,4,1,0,0
121,32.0,0,0,1,1,0,0
122,46.0,1,0,2,1,0,0
123,44.0,1,2,4,1,0,1
124,30.0,1,2,2,1,0,1
125,22.0,1,0,2,1,0,0
126,22.0,1,0,1,1,0,0
127,24.0,0,2,4,1,0,1
128,49.0,0,2,4,1,0,0
129,61.0,0,2,4,1,0,0
130,27.0,0,2,4,1,0,0
131,30.0,1,2,1,1,0,1
132,31.0,0,2,4,0,0,0
133,25.0,0,0,4,1,0,1
134,35.0,0,2,4,1,0,0
135,63.0,0,2,4,1,0,0
136,25.0,0,2,4,1,0,0
137,34.0,1,0,1,1,0,0
138,18.0,1,2,4,1,0,1
139,29.0,0,0,4,1,0,0
140,17.0,0,0,1,1,0,0
141,34.0,0,2,4,1,0,1
142,26.0,0,0,4,0,0,1
953,20.0,1,2,2,1,1,0
954,32.4075723830735,0,0,1,1,1,0
955,19.0,0,0,2,1,1,1
956,37.0,1,0,2,1,1,0
957,42.0,1,2,4,1,1,0
958,25.0,1,2,1,1,1,0
959,27.0,0,0,4,1,1,0
960,20.0,1,0,2,1,1,1
961,32.0,0,0,2,1,1,1
962,46.0,1,2,5,3,1,0
963,60.0,1,2,4,1,1,0
964,21.0,0,2,1,1,1,1
965,25.0,0,0,1,1,1,0
966,35.0,1,0,1,1,1,1
967,31.0,1,2,1,1,1,0
968,25.0,1,2,4,0,1,0
969,26.0,1,0,2,1,1,0
970,21.0,1,2,1,1,1,0
971,22.0,1,2,2,1,1,1
972,32.0,0,2,4,1,1,1
973,32.4075723830735,1,0,1,1,1,1
974,21.0,1,0,1,1,1,0
975,28.0,1,0,1,1,1,0
976,35.0,1,2,1,1,1,0
977,34.0,1,0,1,1,1,0
978,24.0,1,0,2,1,1,0
979,30.0,1,2,2,1,1,0
980,29.0,0,2,1,1,1,0
981,30.0,1,0,1,1,1,0
982,53.0,1,0,1,1,1,0
983,30.0,1,2,1,1,1,1
984,21.0,0,2,1,1,1,0
985,26.0,0,2,1,1,1,1
986,53.0,0,2,4,1,1,0
987,28.0,1,2,2,1,1,1
